Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15195,The Complete Maus,Art Spiegelman,"Spiegelman, Art",,141014083,9.78014E+12,5,4.56,Penguin Books,Paperback,296,2003,1980,01/01/2022,31/12/2021,favourites,favourites (#6),read,,,,1,0
33797941,"The Bear and the Nightingale (Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,1785031058,9.78179E+12,4,4.1,Del Rey,Paperback,430,2017,2017,26/12/2021,16/12/2021,,,read,,,,1,0
56252373,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,4,3.84,Faber & Faber,Paperback,282,2010,2005,04/01/2022,02/01/2022,,,read,,,,1,0
54373691,"Before the Coffee Gets Cold: Tales from the Café (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529050863,9.78153E+12,5,3.99,Picador,Paperback,192,2020,2017,02/01/2022,02/01/2022,,,read,,,,1,0
40176913,Outline,Rachel Cusk,"Cusk, Rachel",,571346766,9.78057E+12,4,3.68,Faber & Faber,Paperback,249,2018,2014,31/12/2021,30/12/2021,,,read,,,,1,0
59984174,"The Golden Mean (End of the World, #7)",FernWithy,"FernWithy, FernWithy",,,,5,4.8,,,505,2015,,10/08/2020,21/05/2021,,,read,,,,1,0
59984165,"The Final Eight (End of the World, #6)",FernWithy,"FernWithy, FernWithy",,,,5,4.86,,,145,2014,,03/08/2020,21/05/2021,,,read,,,,1,0
59976890,The Last Tribute (End of the World #5),FernWithy,"FernWithy, FernWithy",,,,5,4.89,,,408,2014,,31/07/2020,21/05/2021,,,read,,,,1,0
59976883,"These Are The Names (End of the World, #4)",FernWithy,"FernWithy, FernWithy",,,,5,4.88,,,411,2014,,14/07/2020,21/05/2021,,,read,,,,1,0
59976873,"The Hanging Tree (End of the World, #3)",FernWithy,"FernWithy, FernWithy",,,,5,4.86,,,404,2014,,28/07/2020,21/05/2021,,,read,,,,1,0
59976864,"The Rites of Fall (End of the World, #2)",FernWithy,"FernWithy, FernWithy",,,,5,4.71,,,136,2013,,21/07/2020,21/05/2021,,,read,,,,1,0
59976843,"The End of the World (End of the World, # 1)",FernWithy,"FernWithy, FernWithy",,,,5,5,,,397,2013,,17/07/2020,21/05/2021,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9.78059E+12,5,3.77,Alfred A. Knopf,Hardcover,303,2021,2021,28/12/2021,27/12/2021,favourites,favourites (#5),read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529029589,9.78153E+12,5,3.75,Picador,Paperback,213,2019,2015,27/12/2021,26/12/2021,favourites,favourites (#4),read,,,,1,0
46195086,My Son the Fanatic,Hanif Kureishi,"Kureishi, Hanif",,057135615X,9.78057E+12,3,3.55,Faber & Faber,Paperback,48,2019,1998,15/12/2021,15/12/2021,,,read,,,,1,0
45992792,Tell Me the Truth About Life: A National Poetry Day Anthology,National Poetry Day,"Day, National Poetry",Cerys Matthews,1789290996,9.78179E+12,4,4.11,Michael O'Mara,Hardcover,,2019,,14/12/2021,11/12/2021,,,read,,,,1,0
57956582,The Devil's Chamber,Neil Cocker,"Cocker, Neil",,,,5,4.29,Cloudburn Books,Kindle Edition,,2021,,10/12/2021,05/12/2021,,,read,,,,1,0
32802595,"Record of a Spaceborn Few (Wayfarers, #3)",Becky  Chambers,"Chambers, Becky",,1473647606,9.78147E+12,5,4.1,Hodder & Stoughton,Hardcover,359,2018,2018,04/12/2021,08/11/2021,,,read,,,,1,0
